id,src_lang,tgt_lang,accurate_translation,know_src_lang,know_tgt_lang,own_translation,translation,text,understand_translation,feedbackToken,created_at,update_at
20,English,Lingala,needs_tweaking,well,well,Lelo oyo nde mokolo,"Lelo oyo , ezali mokolo",Today is the day,absolutely,a37d257b-9c0c-4bd8-aa51-54d258b92943,2021-05-12 09:55:42.332754,2021-05-12 09:55:42.332754
21,English,Setswana,nonsense,decent,little,Keng AI,Se se diragalang,What is AI,most,"",2021-05-12 14:13:45.688502,2021-05-12 14:13:45.688502
22,English,Yoruba,nonsense,well,little,wá,túmọ̀ sí,Come,none,"",2021-05-12 15:00:09.351629,2021-05-12 15:00:09.351629
23,English,Yoruba,nonsense,well,decent,Mo n lo si oja ,tó o bá lọ síbi tí wọ́n ti ń ṣe é,I’m going to the market,none,"",2021-05-12 17:58:21.684889,2021-05-12 17:58:21.684889
24,English,Setswana,needs_work,well,well,Lebese ,kidibatsi,"Milk

 

",none,ba3a77f4-99cc-4fca-8256-362ae5b914ea,2021-05-13 10:12:37.332144,2021-05-13 10:12:37.332144
25,English,Setswana,needs_work,well,well,Setlaela,kidibatsi,Stupid,none,ba3a77f4-99cc-4fca-8256-362ae5b914ea,2021-05-13 10:32:02.34877,2021-05-13 10:32:02.34877
26,English,Setswana,nonsense,well,decent,dumela,lekoko la sepolotiki,hi,most,"",2021-05-13 14:14:31.665532,2021-05-13 14:14:31.665532
27,English,Lingala,nonsense,well,none,"",.,hello what's up ,none,"",2021-05-13 17:09:15.45141,2021-05-13 17:09:15.45141
28,English,Setswana,needs_tweaking,well,decent,Ke nako mang ,Nako ke eng,What is the time ,some,"",2021-05-15 10:08:44.833329,2021-05-15 10:08:44.833329
29,English,Yoruba,nonsense,decent,decent,Pe mi,Ó ṣe mí,Call me,none,"",2021-05-15 13:05:37.036795,2021-05-15 13:05:37.036795
30,English,Lingala,needs_tweaking,decent,well,Nalingi komindimisa ete makambo nyonso mazali kokende malamu. ,Nalingi komindimisa ete makambo nyonso mazali kokende,I want to make sure that everything is going well.,most,"",2021-05-15 18:52:58.539255,2021-05-15 18:52:58.539255
31,English,Swahili,nonsense,well,little,Sadly ... it didn’t translate “Hello” 😢 .... it gave an error ,"",Hello,none,"",2021-05-17 20:49:00.63928,2021-05-17 20:49:00.63928
32,English,Shona,nonsense,decent,decent,"Mhoro, zita rangu ndiTonderai",● Zita rangu rava kuitika,"Hello, my name is Tonderai",none,"",2021-05-18 13:13:47.228493,2021-05-18 13:13:47.228493
33,English,Setswana,needs_work,little,decent,Setswana translation needs a lot of work. I know someone who can help.,kidibatsi,Hello,none,"",2021-05-19 17:12:42.281653,2021-05-19 17:12:42.281653
34,English,Shona,accurate,decent,none,"",.,Good morning,most,"",2021-05-21 15:52:33.257025,2021-05-21 15:52:33.257025
35,English,Setswana,nonsense,well,well,Dumela,kidibatsi,Hello,none,"",2021-05-21 18:58:55.486526,2021-05-21 18:58:55.486526
